NCT ID,Title,Status,Phases,Study Type,Enrollment Count,Enrollment Type,Principal Investigators,Start Date,Completion Date,Primary Completion Date,Sponsor,Collaborators,Conditions,Interventions,Minimum Age,Maximum Age,Gender,Brief Summary,Detailed Description,Study URL,Tags,Age Group,Tumor Type,Surgery Category
NCT05769660,"An Open-label, Phase I Clinical Trial to Assess the Maximum Tolerated Dose (MTD), Safety and Efficacy of BEY1107 in Combination with Temozolomide in Patient with Recurrent or Progressive Glioblastoma Multiforme (GBM)",RECRUITING,['PHASE1'],INTERVENTIONAL,12,ESTIMATED,,11/29/2022,12/31/2026,11/30/2026,BeyondBio Inc.,,Glioblastoma Multiforme,BEY1107; Temozolomide,19 years,,ALL,"This is a Phase 1 study to evaluate the maximum tolerated dose, safety and efficacy of BEY1107 in combination with Temozolomide in Patients with Recurrent or Progressive Glioblastoma Multiforme (GBM)","In Phase 1, patients with recurrent or progressive glioblastoma multiforme who failed with the standard of care will be enrolled at each dose level of BEY1107 in combination with Temozolomide.",https://clinicaltrials.gov/study/NCT05769660,chemotherapy,Adult,Unclear,Unclear
NCT06129760,Glioblastoma Remote Monitoring and Care - Research Protocol,RECRUITING,['NA'],INTERVENTIONAL,25,ESTIMATED,"Siamrut Patanavanich (Cleveland Clinic Foundation, Case Comprehensive Cancer Center); Rowan Barker-Clarke, PhD (Lerner Research Institute, Cleveland Clinic Foundation, Case Comprehensive Cancer Center); Andrew Dhawan, MD, DPhil (Brain Tumor Institute, Cleveland Clinic Foundation, Case Comprehensive Cancer Center)",4/30/2024,6/1/2027,6/1/2025,Case Comprehensive Cancer Center,,Glioblastoma; Venous Thromboembolism; Seizures,Apple Watch,18 years,,ALL,"The purpose of this research is to learn more about how what the Apple watch measures, in terms of walking data, heart rate, breathing rate, and sleep habits, relates to how participants feel. During the course of the treatment, the symptoms participants experience change, and whether the Apple watch can detect these changes. Ultimately, this knowledge is being used to design proactive tools and signatures that can predict complications or symptom changes before they happen.","Glioblastoma is the most common primary malignant brain tumor in adults, with a near-universal rate of recurrence, and reports low median survivals of between 14 and 18 months, even with maximal therapy. Although participants have frequent clinical and imaging follow-ups to monitor their condition, complications are difficult to anticipate and may arise suddenly. For instance, participants with glioblastoma commonly demonstrate hypercoagulability, predisposing them to venous thromboembolism (VTE) with significant morbidity and mortality. VTE is a leading cause of death among cancer participants receiving outpatient chemotherapy, and timely detection and treatment can increase survival. Wearable sensors, in the form of direct-to-consumer devices, may allow for insights to allow for timely, proactive interventions. Nearly 20 percent of US residents own a smart wearable device such as the FitBit or Apple watch. Integration of wearable devices into clinical care has accelerated due to the COVID-19 pandemic's boost in the development of telehealth services. The increasing accessibility and affordability of wearable technology have also allowed for new possibilities to deliver remote and timely care to participants.

The sensors in consumer devices capture a wide range of information. Trans-dermal optical photoplethysmography provides cardiac and respiratory measurements using non-invasive blood flow data. Meanwhile, motion and spatial data are supplied by accelerometers and gyroscopes. This raw data can then be assembled to provide insight into biometric parameters ranging from step counts to higher level information (e.g. VO2 max and sleep duration). Prior work has already used this data at a higher level to link movement activity and vital signs to a patient's thrombosis risk but has not been done in the brain tumor population. This study will ask participants to wear an Apple watch and document any health events or symptoms. Patterns will be analyzed within the captured data that may be associated with symptoms. By annotating symptomatic episodes, study is aimed to generate contextualized wearable sensor datasets that do not currently exist for glioblastoma participants and develop digital biomarkers for certain symptoms. For instance, abnormal variations in heart rate or breathing rate will be observed preceding a seizure or other transient neurological symptoms. Wearable data uses the patient's baseline at the beginning of the study as a matched control. Traditional follow-up care and Karnofsky performance status (KPS) evaluation rely on snapshot measurements, patient interviews, and clinician impressions during a relatively brief clinic visit. Wearable sensors may provide higher resolution information to help determine KPS between visit assessment and interventions. Some studies have demonstrated the feasibility of using wearables for remote monitoring of KPS in advanced gastrointestinal and lung cancers, but have yet to include participants with glioblastoma. One feasibility study has explored wearables in determining sleep quality in glioblastoma participants. To understand the relationship between actigraphy data and clinical scores of well-being in participants with glioblastoma, investigators will examine the association between collected movement data and KPS. This is a feasibility study using the Apple Watch and an iOS application on the participant's iPhone to collect continuous actigraphy data and annotate symptom occurrence. Apple's open-source framework is being utilized to specifically design for medical research, ResearchKit, to build the app and securely collect data.",https://clinicaltrials.gov/study/NCT06129760,imaging; chemotherapy,Adult,Unclear,Unclear
NCT00036660,A Phase II Study of SarCNU (NSC 364432) in Patients With Malignant Glioma,COMPLETED,['PHASE2'],INTERVENTIONAL,10,ACTUAL,,1/10/2002,9/22/2008,4/15/2003,NCIC Clinical Trials Group,,Brain and Central Nervous System Tumors,SarCNU,18 years,120 years,ALL,"RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: Phase II trial to study the effectiveness of sarCNU in treating patients who have recurrent malignant glioma.","OBJECTIVES:

* Determine the efficacy of SarCNU, in terms of objective response and duration of response, in patients with recurrent malignant gliomas.
* Determine the qualitative and quantitative toxic effects of this drug in these patients.
* Determine the time to progression and survival of patients treated with this drug.

OUTLINE: This is a multicenter study.

Patients receive oral SarCNU on days 1, 5, and 9. Treatment repeats every 6 weeks for up to 4 courses in the absence of disease progression or unacceptable toxicity.

Patients are followed at 4 weeks and then every 3 months thereafter.

PROJECTED ACCRUAL: A total of 15-30 patients will be accrued for this study within 12-18 months.",https://clinicaltrials.gov/study/NCT00036660,chemotherapy,Adult,Unclear,Unclear
NCT01729260,Phase I Study of Mebendazole in Newly Diagnosed High-Grade Glioma Patients Receiving Temozolomide,COMPLETED,['PHASE1'],INTERVENTIONAL,24,ACTUAL,"Gary Gallia, MD (Johns Hopkins University School of Medicine, Department of Neurosurgery)",4/4/2013,4/16/2021,2016-09,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Accelerate Brain Cancer Cure,Newly Diagnosed High-Grade Glioma,Mebendazole,18 years,,ALL,The purpose of this study is to find the highest dose of mebendazole (MBZ) that can be safely given to people with malignant brain tumors in combination with the current standard of care (temozolomide) without causing severe side effects. We also want to find out if MBZ can slow the growth of the brain tumor. The study doctors have found that MBZ is effective against malignant brain tumors in the laboratory and animal models of brain tumors.,"Glioblastoma (GBM) is the most common and aggressive brain cancer, and despite significant advances in treatment the majority of patients die within two years of diagnosis. During routine animal studies we serendipitously observed that fenbendazole, a benzimidazole antihelminthic used for pinworms, prevented tumor engraftment. Subsequent in vitro and in vivo experiments with benzimidazoles identified mebendazole as the drug having the best results in preclinical testing 1. In GBM cell lines, mebendazole displayed cytotoxicity with IC50s ranging from 0.1-0.3 μM. Mebendazole disrupted microtubule formation in GBM cells and it's in vitro activity was correlated with reduced tubulin polymerization. In two orthotopic mouse glioma models, one syngeneic and one xenograft, mebendazole significantly extended average survival up to 63% compared to untreated controls 1.

Mebendazole is an FDA approved antiparasitic agent with a well-established side effect and safety record and was effective in our animal models in dosing schedules that are documented as safe in humans. Therefore, mebendazole is a possible anti-cancer therapeutic with pre-clinical safety and efficacy and provides a promising opportunity for a clinical trial in patients with malignant gliomas.

In addition, a recently published case report case report from the University of Michigan documented successful long term control in metastatic adrenocortical adenocarcinoma using mebendazole 2. Mebendazole was well tolerated at 200 mg/day and used as the sole treatment after the patient failed other chemotherapies.",https://clinicaltrials.gov/study/NCT01729260,chemotherapy,Adult,Metastatic,Unclear
NCT04691960,A Pilot Study of Ketogenic Diet and Metformin in Glioblastoma: Feasibility and Metabolic Imaging,RECRUITING,['PHASE2'],INTERVENTIONAL,36,ESTIMATED,"Howard F Fine, MD; Howard Fine, MD (Weill Medical College of Cornell University); Andrew Lassman, MD",2016-08,2025-12,2025-12,Weill Medical College of Cornell University,,Glioblastoma,Ketogenic Diet; Metformin,18 years,,ALL,"This clinical trial is for men and women with high-grade gliomas. Glucose (sugar) is thought to be a contributor to tumor growth. The ketogenic diet (a high fat, low carbohydrate diet) and metformin (a drug approved by the Food and Drug Administration to treat type 2 diabetes) are both known to lower blood glucose levels. The purpose of the study is to evaluate the tolerability of a ketogenic diet in conjunction with metformin and whether maintaining and the diet with metformin will have any effect on participants. Participants will prepare their own meals with the help of a nutritionist. Participants will continue on treatment as long as they are responding to therapy and not experiencing unacceptable side effects",,https://clinicaltrials.gov/study/NCT04691960,,Adult,Unclear,Unclear
NCT02977780,INdividualized Screening Trial of Innovative Glioblastoma Therapy (INSIGhT),RECRUITING,['PHASE2'],INTERVENTIONAL,460,ESTIMATED,"Patrick Y Wen, MD (Dana-Farber Cancer Institute)",2/9/2017,4/30/2027,2/1/2027,"Patrick Wen, MD","Eli Lilly and Company; Celgene; Puma Biotechnology, Inc.; Accelerate Brain Cancer Cure; Quadriga Biosciences, Inc.",Glioblastoma,Temozolomide; Neratinib; QBS10072S,18 years,,ALL,"This research study is studying several investigational drugs as a possible treatment for Glioblastoma (GBM).

The drugs involved in this study are :

* Abemaciclib
* Temozolomide (temodar)
* Neratinib
* CC115
* QBS10072S","This research study is a Phase II clinical trial. Phase II clinical trials test the safety and effectiveness of an investigational drug to learn whether the study drug works in treating a specific disease. ""Investigational"" means that the drug is being studied.

In this research study, the investigators are looking to compare the effects, good and bad, of the standard of care with the three investigational agent sub-studies Abemaciclib, Neratinib, CC115, QBS10072S to help people with Glioblastoma including the specific molecular changes in the genes and proteins.

The FDA has approved Temozolomide (temodar) as a treatment for this disease, however the FDA has not approved Abemaciclib, CC115, Neratinib, QBS10072S for any diseases.",https://clinicaltrials.gov/study/NCT02977780,chemotherapy,Adult,Unclear,Unclear
NCT02336165,Phase 2 Study to Evaluate the Clinical Efficacy and Safety of MEDI4736 in Patients With Glioblastoma (GBM),COMPLETED,['PHASE2'],INTERVENTIONAL,159,ACTUAL,,2/26/2015,7/6/2021,2018-11,Ludwig Institute for Cancer Research,"MedImmune LLC; Cancer Research Institute, New York City; Cure Brain Cancer Foundation, Australia",Glioblastoma,Durvalumab; Standard radiotherapy; Bevacizumab,18 years,,ALL,"This is an ongoing Phase 2, open-label, multicenter, non-randomized study of MEDI4736 (durvalumab) in subjects with glioblastoma (GBM) enrolled into 5 non-comparative cohorts. Primary study objectives, which vary by cohort due to differences in subject populations, include evaluation of the clinical efficacy as measured by the overall survival (OS) rate at 12 months (Cohort A), progression-free survival (PFS) at 6 months (Cohorts B, B2, and B3), and OS at 6 months (Cohort C). For all cohorts, secondary objectives include evaluation of the safety/tolerability and clinical efficacy of study treatment, and exploratory objectives include evaluation of the neurologic function and correlative biomarkers.","Eligible subjects are enrolled in parallel into one of the following 5 cohorts as described below. In each cohort, the first study drug administration for the first subject and the second subject are separated by at least 1 week.

* Cohort A: Subjects with newly diagnosed unmethylated O\^6-methylguanine-deoxyribonucleic acid methyltransferase (MGMT) GBM receive durvalumab (10 mg/kg every 2 weeks \[Q2W\]) + standard radiotherapy. The first 6 subjects are evaluated for dose-limiting toxicity (DLT) for 10 weeks to determine whether the durvalumab dose should be lowered to 3 or 1 mg/kg.
* Cohort B: Bevacizumab-naïve subjects with recurrent GBM receive durvalumab (10 mg/kg Q2W) as monotherapy.
* Cohort B2: Bevacizumab-naïve subjects with recurrent GBM receive durvalumab (10 mg/kg Q2W) + bevacizumab (10 mg/kg Q2W).
* Cohort B3: Bevacizumab-naïve subjects with recurrent GBM receive durvalumab (10 mg/kg Q2W) + bevacizumab (3 mg/kg Q2W).
* Cohort C: Bevacizumab-refractory subjects with recurrent GBM receive durvalumab (10 mg/kg Q2W) + continued bevacizumab (10 mg/kg Q2W). The first 6 subjects are evaluated for DLTs for 6 weeks to determine whether the durvalumab dose should be lowered to 3 or 1 mg/kg.

The Core Study lasts for up to 12 months; optional extension treatment may be offered to subjects who complete 51 weeks of treatment on the Core Study with stable disease or better and upon agreement between the subject, Investigator, and Sponsor.

Subjects are followed on study for 90 days after the last drug administration and off study every 6 months for 3 years from the date of the first dose of study treatment.

The primary study endpoints have been met, although some subjects remain in treatment and/or follow-up and data collection is ongoing.",https://clinicaltrials.gov/study/NCT02336165,,Adult,Primary,Unclear
NCT00045565,Phase I Study of Combined Radiotherapy and Arsenic Trioxide for the Treatment of Newly Diagnosed Malignant Glioma,COMPLETED,['PHASE1'],INTERVENTIONAL,30,ACTUAL,Samuel Ryu (New Approaches to Brain Tumor Therapy Consortium),2002-10,,2008-11,National Cancer Institute (NCI),,Adult Giant Cell Glioblastoma; Adult Glioblastoma; Adult Gliosarcoma,arsenic trioxide; radiation therapy,18 years,,ALL,This phase I trial is studying the side effects and best dose of arsenic trioxide and radiation therapy in treating patients with newly diagnosed malignant glioma. Drugs such as arsenic trioxide may stop the growth of malignant glioma by stopping blood flow to the tumor. Radiation therapy uses high-energy x-rays to damage tumor cells. Combining arsenic trioxide with radiation therapy may kill more tumor cells.,"PRIMARY OBJECTIVES:

I. To determine the maximum tolerated dose (MTD) of Arsenic Trioxide (ATO) when administered on a once a week schedule and a twice a week schedule in conjunction with radiation therapy to patients with newly diagnosed glioblastoma multiforme.

II. To determine the toxicity of ATO when it is administered on a once a week schedule and a twice a week schedule in conjunction with radiation therapy in patients with newly diagnosed glioblastoma multiforme.

SECONDARY OBJECTIVES:

I. To determine the survival of patients with newly diagnosed glioblastoma multiforme receiving ATO when it is administered on a once a week schedule and a twice a week schedule in conjunction with radiation therapy.

II. To evaluate the effect of ATO on tumor vasculature by using perfusion MRI. III. To describe the pharmacokinetics of ATO following weekly and twice weekly injection.

OUTLINE: This is a nonrandomized, open-label, multicenter, dose-escalation study of arsenic trioxide. Patients are assigned to 1 of 2 treatment groups.

Group A: Patients receive arsenic trioxide IV over 2 hours once weekly for 6 weeks.

Group B: Patients receive arsenic trioxide at a lower dose IV over 2 hours twice weekly for 6 weeks.

Patients in both groups also undergo radiotherapy once daily 5 days a week for 6 weeks.

In both groups, cohorts of 3-6 patients receive escalating doses of arsenic trioxide until the maximum tolerated dose (MTD) is determined. The MTD is defined as the dose preceding that at which at least 2 of 3 or 3 of 6 patients experience dose-limiting toxicity.

Patients are followed weekly for 4 weeks and then every 2 months thereafter.",https://clinicaltrials.gov/study/NCT00045565,imaging,Adult,Primary,Unclear
NCT00687765,Phase I/II Study of the Poly (ADP-ribose) Polymerase-1 (PARP-1) Inhibitor BSI-201 in Patients With Newly Diagnosed Malignant Glioma,COMPLETED,"['PHASE1', 'PHASE2']",INTERVENTIONAL,126,ACTUAL,,2008-07,2015-06,2015-06,Sanofi,,Glioblastoma,bsi-201 plus temozolomide,18 years,,ALL,"The phase I portion of study is designed to determine the Maximum Tolerated Dose (MTD) of BSI-201 with two clinically relevant dosing regimens of temozolomide (TMZ). Secondary objectives in the phase I trial include determining the PK of BSI-201 in malignant glioma patients and correlating BSI-201 PK with degree of PARP-1 inhibition. A safety run-in will confirm the safety of BSI-201 added to standard TMZ and radiation therapy and the phase II portion of the study will assess the efficacy and tolerability of the MTD dose of BSI-201 with daily TMZ and radiation therapy followed by adjuvant TMZ in patients with newly diagnosed GBM and assess overall survival as the primary outcome measure. Information on each phase of the study will be listed when each phase opens for enrollment.

Based on data generated by BiPar/Sanofi, it is concluded that iniparib does not possess characteristics typical of the PARP inhibitor class. The exact mechanism has not yet been fully elucidated, however based on experiments on tumor cells performed in the laboratory, iniparib is a novel investigational anti-cancer agent that induces gamma-H2AX (a marker of DNA damage) in tumor cell lines, induces cell cycle arrest in the G2/M phase in tumor cell lines, and potentiates the cell cycle effects of DNA damaging modalities in tumor cell lines. Investigations into potential targets of iniparib and its metabolites are ongoing.",,https://clinicaltrials.gov/study/NCT00687765,chemotherapy,Adult,Primary,Post-Surgery
NCT04732065,"PNOC023: Open Label Phase 1 and Target Validation Study of ONC206 in Children and Young Adults With Newly Diagnosed or Recurrent Diffuse Midline Glioma (DMG), and Other Recurrent Primary Malignant Central Nervous System (CNS) Tumors",RECRUITING,['PHASE1'],INTERVENTIONAL,208,ESTIMATED,"Sabine Mueller, MD, PhD; Cassie Kline, MD",8/23/2021,7/31/2027,5/31/2027,"Sabine Mueller, MD, PhD",Chimerix; Mithil Prasad Foundation; Storm the Heavens Fund; The ChadTough Defeat DIPG Foundation; National Cancer Institute (NCI); Dana-Farber Cancer Institute,Diffuse Midline Glioma (DMG); Glioblastoma; Recurrent Ependymoma; Recurrent Malignant Central Nervous System Neoplasm; Spinal Cord Glioma; World Health Organization (WHO) Grade III Glioma; CNS Tumor; Central Nervous System Tumor,ONC206; Standard of Care Radiation Therapy; Optional Proton (1H) MR spectroscopy (MRS),2 years,21 years,ALL,"This phase I trial studies the effects and best dose of ONC206 alone or in combination with radiation therapy in treating patients with diffuse midline gliomas that is newly diagnosed or has come back (recurrent) or other recurrent primary malignant CNS tumors. ONC206 is a recently discovered compound that may stop cancer cells from growing. This drug has been shown in laboratory experiments to kill brain tumor cells by causing a so called ""stress response"" in tumor cells. This stress response causes cancer cells to die, but without affecting normal cells. ONC206 alone or in combination with radiation therapy may be effective in treating newly diagnosed or recurrent diffuse midline gliomas and other recurrent primary malignant CNS tumors.","PRIMARY OBJECTIVES:

I. To determine the safety and tolerability of DRD2 antagonist/ClpP agonist ONC206 (ONC206).

II. To determine the MTD of ONC206 as single agent in children and young adults with DMG, H3K27 altered, who completed at least one line of prior therapy that included focal radiation therapy (Arm A).

III. To determine the MTD of ONC206 in combination with focal radiation therapy in newly diagnosed children and young adults with DMG, H3K27 altered (Arm B).

IV. To determine the MTD of ONC206 in combination with reirradiation in children and young adults with progression of DMG, H3K27 altered (Arm C).

V. To determine the MTD of ONC206 in children and young adults with recurrent primary malignant CNS tumors including participants with recurrent DMGs if not eligible for other arms. (Arm D).

VI. To assess the concentration of ONC206 in tumor tissue from children and young adults with DMG, H3K27 altered predominantly localized to the thalamus and compare to plasma drug levels pre-surgery. (Target validation).

VII. To assess the concentration of ONC206 in tumor tissue in children and young adults with DMG, H3K27 altered predominantly localized to the pons and compare to plasma drug levels pre-surgery. (Target validation).

VIII. To assess the concentration of ONC206 in tumor tissue in children and young adults with DMG, H3K27 altered in non-thalamic and non-pontine locations and compare to plasma drug levels pre-surgery. (Target validation).

IX. To assess the concentration of ONC206 in tumor tissue in children and young adults with recurrent primary malignant CNS tumors and compare to plasma drug levels pre-surgery. (Target validation).

SECONDARY OBJECTIVE:

I. To characterize the pharmacokinetics (PK) of ONC206 in plasma in patients with DMG, H3K27 altered and recurrent primary malignant CNS tumors.(Arms A and D).

EXPLORATORY OBJECTIVES:

I. To assess the clinical responses within the confines of a phase 1/expansion study.

II. To assess if amount of serum circulating tumor DNA (ctDNA) is correlated with clinical outcome.

III. To assess if amount of cerebrospinal fluid (CSF) ctDNA is correlated with clinical outcome.

IV. To assess if clinical outcomes are associated with anatomic location of tumor, H3K27 mutation status and other partner mutations.

V. To assess biomarkers of response.

VI. To assess the response rate to ONC206 in patients with prior ONC201 exposure.

VII. To assess pharmacodynamics (PD) of ONC206.

VIII. To assess PK-PD and identify the relationship between drug exposure and clinical endpoints for both safety and efficacy.

IX. To characterize the PK of ONC206 in CSF in patients with DMG, H3K27 altered and recurrent primary malignant CNS tumors.

X. To assess PD changes within tumor tissue after ONC206 administration (Target Validation).

XI. To assess microbiome and flow cytometry studies in the context of imaging and clinical outcomes using descriptive statistics.

XII. To assess Health Related Quality of Life (HRQOL) outcomes.

XIII. To assess patient and/or proxy satisfaction with study participation via patient-reported outcome (PRO) measures.

XIV. To assess patient and/or proxy satisfaction with study participation via patient-reported outcome (PRO) measures in the context of race ethnicity and other health related social risks.

XV. To assess on therapy toxicity and survival in the context of race, ethnicity and other health related social risks.

XVI. To assess if 18F-FET-PET can support response assessment in children treated with ONC206.

XVII. To determine feasibility of measuring ONC206 concentrations in hair samples.

XVIII. To assess feasibility to obtain Proton (1H) MR spectroscopy (MRS) with standard MRI.

OUTLINE: This is a dose-escalation study of ONC206. Patients are assigned to 1 of 4 arms.

ARM A (Children and young adults with DMG H3K27 altered who completed at least one line of prior therapy) and ARM D (Participants with recurrent primary malignant CNS tumors including participants with recurrent DMGs who failed at least one prior therapy including radiation therapy): Patients receive ONC206 orally (PO) up to six times per week. Cycles repeat every 28 days for up to 12 months in the absence of disease progression or unacceptable toxicity. In case the participant receives clinical benefit from the treatment, treatment could possibly proceed up to 24 months.

ARM B (Newly diagnosed children and young adults with DMG H3K27 altered) and ARM C:(Children and young adults with DMG H3K27 altered who have evidence of progression but have not been treated for this progression and are candidates for re-irradiation): Patients undergo standard of care radiation therapy daily 5 days a week and receive ONC206 as in Arm A.

All participants will be permitted to have an optional MRS scans. After completion of study treatment, patients are followed up at 30 days and then every 3 months for up to 5 years.",https://clinicaltrials.gov/study/NCT04732065,imaging; liquid biopsy; pediatric,Mixed,Primary,Surgery
